FilterName,ExecutionMode,Resolution,HasTransform,FPS,FrameTime_ms
,GPU,2073600,No,30.1465,33.1713
Grayscale,GPU,2073600,No,30.3408,32.9589
Blur,GPU,2073600,No,30.3079,32.9947
Edge,GPU,2073600,No,30.451,32.8397
Pixelation,GPU,2073600,No,30.3044,32.9985
Comic,GPU,2073600,No,30.4277,32.8647
,CPU,2073600,No,30.5749,32.7066
Grayscale,CPU,2073600,No,30.6131,32.6657
Blur,CPU,2073600,No,30.8237,32.4426
Edge,CPU,2073600,No,30.7417,32.5292
Pixelation,CPU,2073600,No,30.545,32.7386
Comic,CPU,2073600,No,6.01811,166.165
,GPU,2073600,Yes,30.2348,33.0744
Grayscale,GPU,2073600,Yes,30.744,32.5266
Blur,GPU,2073600,Yes,30.4084,32.8856
Edge,GPU,2073600,Yes,30.4251,32.8676
Pixelation,GPU,2073600,Yes,30.3763,32.9204
Comic,GPU,2073600,Yes,30.3455,32.9539
,CPU,2073600,Yes,30.5245,32.7606
Grayscale,CPU,2073600,Yes,30.7102,32.5624
Blur,CPU,2073600,Yes,30.7964,32.4714
Edge,CPU,2073600,Yes,30.6412,32.6358
Pixelation,CPU,2073600,Yes,30.7413,32.5295
Comic,CPU,2073600,Yes,5.98635,167.047
,GPU,2073600,Yes,30.8096,32.4575
Grayscale,GPU,2073600,Yes,30.2962,33.0074
Blur,GPU,2073600,Yes,30.4366,32.8552
Edge,GPU,2073600,Yes,30.4147,32.8788
Pixelation,GPU,2073600,Yes,30.5659,32.7162
Comic,GPU,2073600,Yes,30.159,33.1576
,CPU,2073600,Yes,30.4825,32.8057
Grayscale,CPU,2073600,Yes,30.7212,32.5508
Blur,CPU,2073600,Yes,30.7708,32.4983
Edge,CPU,2073600,Yes,30.7065,32.5664
Pixelation,CPU,2073600,Yes,30.7587,32.5111
Comic,CPU,2073600,Yes,5.98265,167.15
,GPU,2073600,Yes,30.7885,32.4797
Grayscale,GPU,2073600,Yes,30.378,32.9185
Blur,GPU,2073600,Yes,30.6593,32.6166
Edge,GPU,2073600,Yes,30.1426,33.1756
Pixelation,GPU,2073600,Yes,30.4334,32.8587
Comic,GPU,2073600,Yes,30.3685,32.9289
,CPU,2073600,Yes,30.7416,32.5292
Grayscale,CPU,2073600,Yes,30.6592,32.6166
Blur,CPU,2073600,Yes,30.7451,32.5256
Edge,CPU,2073600,Yes,30.6193,32.6592
Pixelation,CPU,2073600,Yes,30.5233,32.7619
Comic,CPU,2073600,Yes,5.98014,167.22
,GPU,2073600,Yes,30.712,32.5606
Grayscale,GPU,2073600,Yes,30.3306,32.97
Blur,GPU,2073600,Yes,30.2882,33.0161
Edge,GPU,2073600,Yes,30.2617,33.0451
Pixelation,GPU,2073600,Yes,30.4597,32.8302
Comic,GPU,2073600,Yes,30.2618,33.045
,CPU,2073600,Yes,30.58,32.7011
Grayscale,CPU,2073600,Yes,30.4728,32.8161
Blur,CPU,2073600,Yes,30.9792,32.2797
Edge,CPU,2073600,Yes,30.7434,32.5273
Pixelation,CPU,2073600,Yes,30.8501,32.4148
Comic,CPU,2073600,Yes,5.9943,166.825
