FilterName,ExecutionMode,Resolution,HasTransform,FPS,FrameTime_ms
Grayscale,GPU,307200,No,30.1412,33.1772
Blur,GPU,307200,No,30.4072,32.887
Edge,GPU,307200,No,30.2856,33.019
Pixelation,GPU,307200,No,30.2349,33.0743
Comic,GPU,307200,No,30.3873,32.9085
Grayscale,CPU,307200,No,30.2637,33.0429
Blur,CPU,307200,No,30.3654,32.9322
Edge,CPU,307200,No,30.1116,33.2098
Pixelation,CPU,307200,No,30.185,33.129
Comic,CPU,307200,No,29.828,33.5255
Grayscale,GPU,921600,No,30.0861,33.238
Blur,GPU,921600,No,30.6358,32.6415
Edge,GPU,921600,No,30.3839,32.9122
Pixelation,GPU,921600,No,30.3508,32.9481
Comic,GPU,921600,No,30.3702,32.927
Grayscale,CPU,921600,No,30.1037,33.2185
Blur,CPU,921600,No,30.4796,32.8089
Edge,CPU,921600,No,30.4743,32.8145
Pixelation,CPU,921600,No,30.298,33.0055
Comic,CPU,921600,No,11.8428,84.4397
Grayscale,GPU,2073600,No,30.0633,33.2631
Blur,GPU,2073600,No,30.2556,33.0517
Edge,GPU,2073600,No,30.2504,33.0575
Pixelation,GPU,2073600,No,30.0388,33.2903
Comic,GPU,2073600,No,30.6747,32.6002
Grayscale,CPU,2073600,No,30.3885,32.9072
Blur,CPU,2073600,No,30.4019,32.8927
Edge,CPU,2073600,No,30.7626,32.507
Pixelation,CPU,2073600,No,30.5067,32.7797
Comic,CPU,2073600,No,6.03195,165.784
