FilterName,ExecutionMode,Resolution,HasTransform,FPS,FrameTime_ms
None,GPU,2073600,No,30.2934,33.0105
Grayscale,GPU,2073600,No,30.3143,32.9877
Blur,GPU,2073600,No,30.3077,32.9949
Edge,GPU,2073600,No,30.1798,33.1348
Pixelation,GPU,2073600,No,30.49,32.7976
Comic,GPU,2073600,No,29.9882,33.3464
None,CPU,2073600,No,31.2699,31.9796
Grayscale,CPU,2073600,No,30.5415,32.7424
Blur,CPU,2073600,No,30.6383,32.6388
Edge,CPU,2073600,No,30.6025,32.6771
Pixelation,CPU,2073600,No,30.6067,32.6726
Comic,CPU,2073600,No,6.00207,166.609
None,GPU,2073600,Yes,30.3066,32.9961
Grayscale,GPU,2073600,Yes,30.5352,32.7491
Blur,GPU,2073600,Yes,30.1493,33.1682
Edge,GPU,2073600,Yes,30.4477,32.8432
Pixelation,GPU,2073600,Yes,30.2882,33.0162
Comic,GPU,2073600,Yes,30.2318,33.0777
None,CPU,2073600,Yes,30.5856,32.6952
Grayscale,CPU,2073600,Yes,30.9436,32.3168
Blur,CPU,2073600,Yes,30.0324,33.2973
Edge,CPU,2073600,Yes,30.9033,32.359
Pixelation,CPU,2073600,Yes,30.5024,32.7844
Comic,CPU,2073600,Yes,5.99163,166.9
None,GPU,2073600,Yes,30.5601,32.7224
Grayscale,GPU,2073600,Yes,30.3185,32.9831
Blur,GPU,2073600,Yes,30.383,32.9132
Edge,GPU,2073600,Yes,30.1302,33.1893
Pixelation,GPU,2073600,Yes,30.4137,32.8799
Comic,GPU,2073600,Yes,30.1948,33.1183
None,CPU,2073600,Yes,30.6713,32.6038
Grayscale,CPU,2073600,Yes,30.624,32.6541
Blur,CPU,2073600,Yes,30.3502,32.9487
Edge,CPU,2073600,Yes,30.8405,32.4249
Pixelation,CPU,2073600,Yes,30.6757,32.5991
Comic,CPU,2073600,Yes,5.99247,166.876
None,GPU,2073600,Yes,30.3857,32.9102
Grayscale,GPU,2073600,Yes,30.5076,32.7787
Blur,GPU,2073600,Yes,30.2421,33.0664
Edge,GPU,2073600,Yes,30.7675,32.5018
Pixelation,GPU,2073600,Yes,30.2472,33.061
Comic,GPU,2073600,Yes,30.3108,32.9916
None,CPU,2073600,Yes,30.7896,32.4785
Grayscale,CPU,2073600,Yes,30.5263,32.7587
Blur,CPU,2073600,Yes,30.527,32.7579
Edge,CPU,2073600,Yes,30.6779,32.5967
Pixelation,CPU,2073600,Yes,30.815,32.4517
Comic,CPU,2073600,Yes,6.01769,166.177
None,GPU,2073600,Yes,30.4828,32.8054
Grayscale,GPU,2073600,Yes,30.2455,33.0628
Blur,GPU,2073600,Yes,29.9137,33.4295
Edge,GPU,2073600,Yes,30.4507,32.84
Pixelation,GPU,2073600,Yes,30.2379,33.0711
Comic,GPU,2073600,Yes,30.9122,32.3497
None,CPU,2073600,Yes,30.4592,32.8308
Grayscale,CPU,2073600,Yes,30.2646,33.0419
Blur,CPU,2073600,Yes,30.9109,32.3511
Edge,CPU,2073600,Yes,30.6299,32.6478
Pixelation,CPU,2073600,Yes,30.6486,32.6279
Comic,CPU,2073600,Yes,6.00003,166.666
